time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-01-12T21:48:43.360Z,-7.2344,129.2095,117.01,5,mb,,29,2.2,0.81,us,us2000j3e5,2019-04-02T20:52:30.040Z,"245km WNW of Saumlaki, Indonesia",earthquake,6.4,5.1,0.064,79,reviewed,us,us
2019-01-12T20:40:35.160Z,37.4866,20.4045,10,4.5,mb,,133,1.25,1.04,us,us2000j3d8,2019-04-02T20:52:28.040Z,"45km SW of Mouzaki, Greece",earthquake,5.5,1.9,0.124,19,reviewed,us,us
2019-01-12T19:42:30.070Z,-5.4307,151.3607,55.09,4.6,mb,,131,1.468,0.67,us,us2000j3d3,2019-04-02T20:52:28.040Z,"135km E of Kimbe, Papua New Guinea",earthquake,11.4,8.1,0.101,29,reviewed,us,us
2019-01-12T19:02:32.490Z,-8.827,67.8958,10,4.6,mb,,55,4.725,0.7,us,us2000j3cn,2019-04-02T20:52:27.040Z,"Mid-Indian Ridge",earthquake,6.5,1.9,0.098,31,reviewed,us,us
2019-01-12T17:15:22.210Z,-5.7533,152.134,27.37,5.2,mb,,113,1.552,0.84,us,us2000j9s9,2019-04-02T20:53:41.040Z,"155km S of Kokopo, Papua New Guinea",earthquake,11.1,5.1,0.074,65,reviewed,us,us
2019-01-12T17:13:17.320Z,-5.8486,152.2245,10,5.3,mww,,21,1.647,0.88,us,us2000j3bz,2019-04-02T20:52:25.040Z,"165km S of Kokopo, Papua New Guinea",earthquake,7.5,1.8,0.071,19,reviewed,us,us
2019-01-12T16:56:15.960Z,-4.8184,145.1994,130.14,4.5,mb,,108,3.503,1.15,us,us2000j9s8,2019-04-02T20:53:40.040Z,"80km NW of Madang, Papua New Guinea",earthquake,9.7,9.2,0.128,18,reviewed,us,us
2019-01-12T16:22:34.690Z,-19.1637,-177.4718,572.15,4.7,mb,,82,4.476,0.81,us,us2000j3bq,2019-04-02T20:52:25.040Z,"208km NE of Ndoi Island, Fiji",earthquake,15.5,9.9,0.082,45,reviewed,us,us
2019-01-12T14:13:01.370Z,-8.4524,119.7053,91.37,4.6,mb,,73,2.511,1.2,us,us2000j3bl,2019-04-02T20:52:24.040Z,"19km WNW of Cempa, Indonesia",earthquake,8.2,5,0.117,22,reviewed,us,us
2019-01-12T13:57:06.570Z,-5.9174,151.7176,10,4.6,mb,,131,1.771,1.28,us,us2000j9s3,2019-04-02T20:53:40.040Z,"179km ESE of Kimbe, Papua New Guinea",earthquake,6.9,1.9,0.146,14,reviewed,us,us
2019-01-12T13:20:11.210Z,18.0641,120.5825,49.24,4.7,mb,,102,3.954,1.05,us,us2000j3bg,2019-04-02T20:52:23.040Z,"2km ENE of Batac City, Philippines",earthquake,4,7.2,0.057,93,reviewed,us,us
2019-01-12T12:54:01.990Z,-7.6083,127.4766,155.42,4.7,mb,,30,3.805,0.79,us,us2000j3bd,2019-04-02T20:52:23.040Z,"234km ENE of Dili, East Timor",earthquake,7.2,7,0.061,83,reviewed,us,us
2019-01-12T12:04:26.400Z,-6.8394,104.1856,38.71,5.1,mb,,78,2.75,1.01,us,us2000j3b8,2019-04-02T20:52:23.040Z,"156km SSW of Kotaagung, Indonesia",earthquake,7.1,6.5,0.063,82,reviewed,us,us
2019-01-12T11:19:03.440Z,53.0743,159.2833,76.42,5,mb,,75,0.385,0.56,us,us2000j3b2,2019-04-02T20:52:22.040Z,"42km E of Petropavlovsk-Kamchatskiy, Russia",earthquake,8,5,0.032,320,reviewed,us,us
2019-01-12T07:27:51.110Z,-26.6648,-175.8795,10,4.9,mb,,135,3.145,1.3,us,us2000j39y,2019-04-02T20:52:21.040Z,"South of Tonga",earthquake,7.3,1.8,0.125,20,reviewed,us,us
2019-01-12T06:48:51.780Z,-18.0553,-177.9233,582.91,4.9,mb,,69,3.731,0.92,us,us2000j39m,2019-04-02T20:52:20.040Z,"298km NNE of Ndoi Island, Fiji",earthquake,11.9,7.5,0.079,51,reviewed,us,us
2019-01-12T06:30:36.810Z,-26.7722,-175.8987,10,4.7,mb,,135,3.048,1.17,us,us2000j9rr,2019-04-02T20:53:38.040Z,"South of Tonga",earthquake,10.3,1.9,0.152,13,reviewed,us,us
2019-01-12T06:04:02.190Z,-5.5282,131.3873,69.01,4.6,mb,,134,2.44,0.6,us,us2000j395,2019-04-02T20:52:20.040Z,"151km W of Tual, Indonesia",earthquake,9.5,3.8,0.107,26,reviewed,us,us
2019-01-12T06:03:42.970Z,-26.8175,-175.8455,10,5.2,mb,,119,3.039,1.44,us,us2000j39c,2019-04-02T20:52:20.040Z,"South of Tonga",earthquake,10.6,1.8,0.09,41,reviewed,us,us
2019-01-12T05:01:43.930Z,-26.6602,-176.193,10,4.5,mb,,141,2.998,0.91,us,us2000j9rn,2019-04-02T20:53:37.040Z,"South of the Fiji Islands",earthquake,12.6,1.9,0.156,12,reviewed,us,us
2019-01-12T04:32:02.090Z,39.6095,75.7112,18.28,5.3,mww,,64,2.649,1.29,us,us2000j38u,2019-04-02T20:52:19.040Z,"28km NW of Kashi, China",earthquake,6.3,3.8,0.071,19,reviewed,us,us
