Année;Mois;Jour;Jour string;Ephemeride;Pleine mer 1;Pleine mer 2;Phase de la lune;Jour
2019;Septembre;1;D;Gilles;113;113;;1
2019;Septembre;2;L;Ingrid;111;107;;2
2019;Septembre;3;M;Grégoire;102;96;;3
2019;Septembre;4;M;Rosalie;88;80;;4
2019;Septembre;5;J;Raïssa;71;62;;5
2019;Septembre;6;V;Bertrand;54;;Premier quartier;6
2019;Septembre;7;S;Reine;47;42;;7
2019;Septembre;8;D;Nativité;38;38;;8
2019;Septembre;9;L;Alain;40;44;;9
2019;Septembre;10;M;Inès;49;55;;10
2019;Septembre;11;M;Adelphe;60;65;;11
2019;Septembre;12;J;Apollinaire;69;74;;12
2019;Septembre;13;V;Aimé;77;80;;13
2019;Septembre;14;S;Croix Glorieuse;82;84;Pleine lune;14
2019;Septembre;15;D;Roland;85;85;;15
2019;Septembre;16;L;Edith;85;85;;16
2019;Septembre;17;M;Renaud;83;82;;17
2019;Septembre;18;M;Nadège;79;76;;18
2019;Septembre;19;J;Emilie;72;68;;19
2019;Septembre;20;V;Davy;63;58;;20
2019;Septembre;21;S;Matthieu;52;47;;21
2019;Septembre;22;D;Maurice;42;;Dernier quartier;22
2019;Septembre;23;L;Automne;39;37;;23
2019;Septembre;24;M;Thècle;39;44;;24
2019;Septembre;25;M;Hermann;51;60;;25
2019;Septembre;26;J;"Côme; Damien";69;78;;26
2019;Septembre;27;V;Vincent de P.;87;96;;27
2019;Septembre;28;S;Venceslas;103;108;Nouvelle lune;28
2019;Septembre;29;D;Mich., Gab., Raph.;113;115;;29
2019;Septembre;30;L;Jérôme;116;115;;30
2019;Octobre;1;M;Thérèse…;112;107;;1
2019;Octobre;2;M;Léger;102;94;;2
2019;Octobre;3;J;Gérard;86;77;;3
2019;Octobre;4;V;François…;69;59;;4
2019;Octobre;5;S;Fleur;51;;Premier quartier;5
2019;Octobre;6;D;Bruno;43;37;;6
2019;Octobre;7;L;Serge;34;33;;7
2019;Octobre;8;M;Pélagie;36;40;;8
2019;Octobre;9;M;Denis;45;51;;9
2019;Octobre;10;J;Ghislain;57;62;;10
2019;Octobre;11;V;Firmin;67;72;;11
2019;Octobre;12;S;Wilfried;76;80;;12
2019;Octobre;13;D;Géraud;82;85;Pleine lune;13
2019;Octobre;14;L;Juste;86;87;;14
2019;Octobre;15;M;Thérèse…;88;87;;15
2019;Octobre;16;M;Edwige;86;85;;16
2019;Octobre;17;J;Baudoin;82;79;;17
2019;Octobre;18;V;Luc;75;71;;18
2019;Octobre;19;S;René;66;61;;19
2019;Octobre;20;D;Adeline;55;50;;20
2019;Octobre;21;L;Céline;45;;Dernier quartier;21
2019;Octobre;22;M;Elodie;41;40;;22
2019;Octobre;23;M;Jean…;42;47;;23
2019;Octobre;24;J;Florentin;54;62;;24
2019;Octobre;25;V;Crépin;71;80;;25
2019;Octobre;26;S;Dimitri;88;95;;26
2019;Octobre;27;D;Emeline;101;106;;27
2019;Octobre;28;L;Jude;109;111;Nouvelle lune;28
2019;Octobre;29;M;Narcisse;111;109;;29
2019;Octobre;30;M;Bienvenu;106;102;;30
2019;Octobre;31;J;Quentin;96;90;;31
2019;Novembre;1;V;Toussaint;82;75;;1
2019;Novembre;2;S;Défunts;67;59;;2
2019;Novembre;3;D;Hubert;51;44;;3
2019;Novembre;4;L;Charles;39;34;Premier quartier;4
2019;Novembre;5;M;Sylvie;33;;;5
2019;Novembre;6;M;Bertille;34;36;;6
2019;Novembre;7;J;Carine;41;46;;7
2019;Novembre;8;V;Geoffroy;51;56;;8
2019;Novembre;9;S;Théodore;61;66;;9
2019;Novembre;10;D;Léon;71;75;;10
2019;Novembre;11;L;Armistice;78;81;;11
2019;Novembre;12;M;Christian;84;85;Pleine lune;12
2019;Novembre;13;M;Brice;87;87;;13
2019;Novembre;14;J;Sidoine;87;86;;14
2019;Novembre;15;V;Albert;84;82;;15
2019;Novembre;16;S;Marguerite;79;75;;16
2019;Novembre;17;D;Elisabeth;70;66;;17
2019;Novembre;18;L;Aude;61;56;;18
2019;Novembre;19;M;Tanguy;52;49;Dernier quartier;19
2019;Novembre;20;M;Edmond;48;;;20
2019;Novembre;21;J;P. de Marie;49;53;;21
2019;Novembre;22;V;Cécile;57;63;;22
2019;Novembre;23;S;Clément;70;76;;23
2019;Novembre;24;D;Flora;83;88;;24
2019;Novembre;25;L;Catherine;92;96;;25
2019;Novembre;26;M;Delphine;98;99;Nouvelle lune;26
2019;Novembre;27;M;Sévrin;99;98;;27
2019;Novembre;28;J;Jacques…;96;93;;28
2019;Novembre;29;V;Saturnin;89;85;;29
2019;Novembre;30;S;André;80;74;;30
2019;Décembre;1;D;Florence;68;62;;1
2019;Décembre;2;L;Viviane;56;50;;2
2019;Décembre;3;M;François-Xav...;45;41;;3
2019;Décembre;4;M;Barbara;38;36;Premier quartier;4
2019;Décembre;5;J;Gérald;35;;;5
2019;Décembre;6;V;Nicolas;37;39;;6
2019;Décembre;7;S;Ambroise;43;47;;7
2019;Décembre;8;D;Immaculée C.;52;57;;8
2019;Décembre;9;L;Pierre Fourier;61;66;;9
2019;Décembre;10;M;Romaric;70;74;;10
2019;Décembre;11;M;Daniel;78;81;;11
2019;Décembre;12;J;JF de Chantal;83;85;Pleine lune;12
2019;Décembre;13;V;Lucie;86;87;;13
2019;Décembre;14;S;Odile;87;86;;14
2019;Décembre;15;D;Ninon;85;82;;15
2019;Décembre;16;L;Alice;79;76;;16
2019;Décembre;17;M;Gaël;72;69;;17
2019;Décembre;18;M;Gatien;65;62;;18
2019;Décembre;19;J;Urbain;59;58;Dernier quartier;19
2019;Décembre;20;V;Théophile;57;;;20
2019;Décembre;21;S;Hiver;58;61;;21
2019;Décembre;22;D;Françoise-Xav...;64;67;;22
2019;Décembre;23;L;Armand;71;75;;23
2019;Décembre;24;M;Adèle;79;82;;24
